applicationName,jobName,flinkJobName,status,stream_name,topic,groupId,zone,lag_threshold,lag_threshold_factor,downtime_threshold
utp-event-sink-13,utp_event_sink_app,UTPEventSinkApp-13,running,marketing.tracking,marketing.tracking.events.total,marketing-tracking-consumer-utp-event-sink,lvs,6000000,5,60
utp-imk-transform-13,UTPImkTransformApp,UTPImkTransformApp-13,running,marketing.tracking,marketing.tracking.events.total,utp-to-imk,lvs,5000000,5,60
utp-event-imk-sink-13,UTPImkSinkApp,UTPImkSinkApp-13,running,marketing.tracking,marketing.tracking.events.imk,utp-imk-sink,lvs,250000,10,60
utp-event-rover-13,UTPChocolateEmailClickTransformApp,utp-chocolate-email-click-transform-app-13,running,behavior.pulsar,behavior.pulsar.customized.email,utp-chocolate-email-click-transform-7,rno,50000,10,60
utp-event-rover-13,UTPPathfinderEventTransformApp,UTPInstallEventTransformApp-13,running,behavior.pulsar,behavior.pulsar.customized.app-open,utp-install-event-transform,rno,200000,10,60
utp-global-events-13,ROIGlobalEventTransformApp,roi-global-event-13,running,marketing.tracking,marketing.tracking.events.total,roi-global-event-2,lvs,5000000,10,60
utp-global-events-13,roi_global_events_sink,roi-global-event-sink-13,running,marketing.tracking,marketing.tracking.globalevents.roi,roi-global-events-sink,lvs,100000,10,60
add-to-cart-event,UTPAddToCartTransformApp,UTPAddToCartTransformApp,running,behavior.pulsar,behavior.pulsar.customized.bullseye_shoppingcart,utp-add-to-cart-transform-1,rno,30000,10,60
chocolate-monitor-13,log_sink_app,LogSinkApp-13,running,marketing.tracking,marketing.tracking.chocolate-log,log-sink,lvs,20000000,5,60
internal-click-sink,internal_click_sink_app,InternalClickSinkApp,running,marketing.tracking,marketing.tracking.ssl.listened-duplicate-itm-click,marketing-tracking-consumer-internal-click,lvs,10000,5,60
utp-tracer-13-lvs,UtpTracerApp,utp-event-tracer-13,running,marketing.tracking,marketing.tracking.events.total,utp-event-tracer-monitor,lvs,5000000,5,60
utp-monitor-13,utp_monitor_app,utp-monitor-13,running,marketing.tracking,marketing.tracking.events.total,utp-to-monitor-2,lvs,5000000,5,60
utp-madrona,utp_madrona_click,utp-madrona-click,running,behavior.pulsar,behavior.pulsar.customized.page2356359,marketing-tracking-pathfinder-consumer-click01,rno,5000000,10,60
utp-madrona,utp_madrona_imp,utp-madrona-imp,running,behavior.pulsar,behavior.pulsar.customized.page2208336,marketing-tracking-pathfinder-consumer-imp01,rno,4000000,10,60
utp-madrona,utp_madrona_imp_page3411350,utp-madrona-imp-page3411350,running,behavior.pulsar,behavior.pulsar.customized.3411350,marketing-tracking-pathfinder-consumer-imp350,rno,1000,10,60
surface-tracking-off-heap,Native_SessionizedEvent_Dumper,surface-tracking-native-hdfs-writer-v2,running,behavior.autotracking,behavior.autotracking.native.event.sessionized,behavior.surfacetracking.event.sessionized.consumer.dump,rno,10000000,5,60
surface-tracking-off-heap,Late_Native_AutotrackEvent_Dumper,surface-tracking-native-late-hdfs-writer-v2,running,behavior.autotracking,behavior.autotracking.native.event.lated,behavior.surfacetracking.event.sessionized.consumer.dump,rno,40000,5,60
surface-tracking-off-heap,SessionizedEvent_Dumper,surfacetracking-hdfs-writer-v2,running,behavior.autotracking,behavior.autotracking.event.sessionized,behavior.surfacetracking.event.sessionized.consumer.dump,rno,35000000,5,60
surface-tracking-off-heap,Session_Dumper,surface-tracking-session-to-hdfs-v2,running,behavior.autotracking,behavior.autotracking.session,behavior.surfacetracking.event.sessionized.consumer.dump,rno,250000,5,60
surface-tracking-off-heap,Late_AutotrackEvent_Dumper,surfacetracking-late-event-hdfs-writer-v2,running,behavior.autotracking,behavior.autotracking.event.lated,behavior.surfacetracking.event.sessionized.consumer.dump,rno,80000,5,60
surface-tracking-flink,Automated_Tracking_Bot_Detection,flink-session-job,running,behavior.autotracking,behavior.autotracking.moduletrackevent,surface.tracking.impression.consumer.rheostrackevent,lvs,4000000,5,60
surface-tracking-global-event-to-pronto-lvs-v2,SurfaceGlobalEventTracerJob,SurfaceGlobalEventToProntoJob,running,behavior.autotracking,behavior.autotracking.enriched.events,behavior.surfacetracking.global-event-to-pronto.consumer.poc,lvs,10000000,10,60
surface-tracking-global-event-flink,SurfaceGlobalEventEnrichJob,SurfaceGlobalEventEnrichJob-V2,running,behavior.autotracking,behavior.autotracking.event.sessionized,behavior.surfacetracking.global-event.consumer.poc,rno,50000000,8,60
surface-tracking-global-event-flink,SurfaceGlobalEventDumpJob,SurfaceGlobalEventDumpJob-V2,running,behavior.autotracking,behavior.autotracking.enriched.events,behavior.surfacetracking.global-event.consumer.poc,lvs,15000000,10,60